id,timestamp,target,operation,delay_ms,status,error
212,2026-04-23T10:20:46.587Z,fabric,write,104,success,
213,2026-04-23T10:20:46.603Z,polygon,write,119,success,
214,2026-04-23T10:20:46.603Z,polygon,write,121,success,
215,2026-04-23T10:20:46.603Z,fabric,write,120,success,
216,2026-04-23T10:20:46.619Z,polygon,write,135,success,
217,2026-04-23T10:20:46.665Z,fabric,write,181,success,
218,2026-04-23T10:20:46.681Z,polygon,write,199,success,
219,2026-04-23T10:20:46.697Z,polygon,write,214,success,
220,2026-04-23T10:20:46.697Z,fabric,write,215,success,
221,2026-04-23T10:20:46.822Z,fabric,write,120,success,
222,2026-04-23T10:20:46.822Z,fabric,write,122,success,
223,2026-04-23T10:20:46.837Z,polygon,write,137,success,
224,2026-04-23T10:20:46.838Z,fabric,write,137,success,
225,2026-04-23T10:20:46.838Z,polygon,write,137,success,
226,2026-04-23T10:20:46.853Z,polygon,write,152,success,
227,2026-04-23T10:20:46.869Z,polygon,write,169,success,
228,2026-04-23T10:20:46.884Z,fabric,write,183,success,
229,2026-04-23T10:20:46.899Z,polygon,write,198,success,
230,2026-04-23T10:20:46.915Z,fabric,write,214,success,
231,2026-04-23T10:20:47.022Z,polygon,write,103,success,
232,2026-04-23T10:20:47.052Z,polygon,write,132,success,
233,2026-04-23T10:20:47.068Z,polygon,write,150,success,
234,2026-04-23T10:20:47.068Z,polygon,write,148,success,
235,2026-04-23T10:20:47.083Z,polygon,write,164,success,
236,2026-04-23T10:20:47.084Z,fabric,write,164,success,
237,2026-04-23T10:20:47.115Z,fabric,write,195,success,
238,2026-04-23T10:20:47.193Z,fabric,write,274,success,
239,2026-04-23T10:20:47.194Z,fabric,write,274,success,
240,2026-04-23T10:20:47.209Z,fabric,write,290,success,
241,2026-04-23T10:20:47.316Z,polygon,write,103,success,
242,2026-04-23T10:20:47.332Z,fabric,write,119,success,
243,2026-04-23T10:20:47.347Z,polygon,write,133,success,
244,2026-04-23T10:20:47.348Z,polygon,write,134,success,
245,2026-04-23T10:20:47.363Z,polygon,write,150,success,
246,2026-04-23T10:20:47.394Z,fabric,write,180,success,
247,2026-04-23T10:20:47.425Z,polygon,write,213,success,
248,2026-04-23T10:20:47.441Z,fabric,write,228,success,
249,2026-04-23T10:20:47.441Z,fabric,write,227,success,
250,2026-04-23T10:20:47.504Z,fabric,write,291,success,
251,2026-04-23T10:20:47.628Z,polygon,write,121,success,
252,2026-04-23T10:20:47.629Z,polygon,write,120,success,
253,2026-04-23T10:20:47.675Z,polygon,write,167,success,
254,2026-04-23T10:20:47.676Z,polygon,write,166,success,
255,2026-04-23T10:20:47.706Z,fabric,write,197,success,
256,2026-04-23T10:20:47.707Z,polygon,write,198,success,
257,2026-04-23T10:20:47.722Z,fabric,write,213,success,
258,2026-04-23T10:20:47.737Z,fabric,write,230,success,
259,2026-04-23T10:20:47.768Z,fabric,write,258,success,
260,2026-04-23T10:20:47.782Z,fabric,write,274,success,
261,2026-04-23T10:20:47.882Z,fabric,write,91,success,
262,2026-04-23T10:20:47.892Z,fabric,write,103,success,
263,2026-04-23T10:20:47.939Z,polygon,write,153,success,
264,2026-04-23T10:20:47.956Z,polygon,write,165,success,
265,2026-04-23T10:20:47.957Z,polygon,write,167,success,
266,2026-04-23T10:20:47.971Z,polygon,write,183,success,
267,2026-04-23T10:20:47.987Z,polygon,write,195,success,
268,2026-04-23T10:20:48.002Z,fabric,write,210,success,
269,2026-04-23T10:20:48.063Z,fabric,write,273,success,
270,2026-04-23T10:20:48.064Z,fabric,write,277,success,
271,2026-04-23T10:20:48.189Z,fabric,write,121,success,
272,2026-04-23T10:20:48.220Z,fabric,write,151,success,
273,2026-04-23T10:20:48.236Z,polygon,write,167,success,
274,2026-04-23T10:20:48.237Z,fabric,write,167,success,
275,2026-04-23T10:20:48.238Z,polygon,write,170,success,
276,2026-04-23T10:20:48.238Z,polygon,write,169,success,
277,2026-04-23T10:20:48.252Z,polygon,write,183,success,
278,2026-04-23T10:20:48.267Z,polygon,write,199,success,
279,2026-04-23T10:20:48.268Z,fabric,write,199,success,
280,2026-04-23T10:20:48.283Z,fabric,write,214,success,
281,2026-04-23T10:20:48.408Z,polygon,write,118,success,
282,2026-04-23T10:20:48.424Z,polygon,write,135,success,
283,2026-04-23T10:20:48.439Z,polygon,write,149,success,
284,2026-04-23T10:20:48.440Z,polygon,write,149,success,
285,2026-04-23T10:20:48.455Z,polygon,write,165,success,
286,2026-04-23T10:20:48.456Z,fabric,write,167,success,
287,2026-04-23T10:20:48.456Z,fabric,write,165,success,
288,2026-04-23T10:20:48.534Z,fabric,write,244,success,
289,2026-04-23T10:20:48.551Z,fabric,write,261,success,
290,2026-04-23T10:20:48.597Z,fabric,write,306,success,
291,2026-04-23T10:20:48.720Z,fabric,write,120,success,
292,2026-04-23T10:20:48.720Z,polygon,write,120,success,
293,2026-04-23T10:20:48.735Z,polygon,write,134,success,
294,2026-04-23T10:20:48.767Z,fabric,write,167,success,
295,2026-04-23T10:20:48.767Z,polygon,write,166,success,
296,2026-04-23T10:20:48.768Z,polygon,write,167,success,
297,2026-04-23T10:20:48.768Z,fabric,write,167,success,
298,2026-04-23T10:20:48.783Z,polygon,write,183,success,
